9698	8662	24
112	4142	7
164	2517	9
11024	8754	8
460	4638	5
2286	10284	9
175	1215	0
1227	9808	13
277	6781	16
266	1933	15
2958	7944	4
956	7796	6
131	900	7
161	1980	7
166	4946	24
108	4699	12
1311	5229	5
148	6344	2
11740	1143	0
143	3190	6
2245	9744	9
101	9568	31
12	3009	27
14	2510	23
27217	712	23
147	6209	7
223	5871	28
12	7270	13
12	261	2
22798	10653	4
113	9537	4
105	5318	13
841	927	25
5902	9560	33
994	2162	16
129	3017	4
14	461	14
26117	2724	29
6306	5199	38
158	9088	34
24064	3904	17
126	5481	40
173	6074	18
102	1376	25
116	5664	22
188	5724	22
19440	10004	12
155	468	3
121	1328	2
16682	10404	0
141	3654	39
9761	9257	7
9	5147	7
213	3786	10
15265	2343	19
189	4115	14
1613	6705	9
4072	6235	0
14	9191	11
12	2722	17
398	7909	15
354	1604	33
146	79	12
581	8129	1
170	10403	3
114	10026	14
2262	7066	2
182	1004	21
2744	7782	5
14	8615	9
12	3884	17
102	842	19
101	1576	4
240	6332	8
11775	3328	25
449	6632	25
614	5575	36
117	4491	6
13808	8581	31
117	1580	16
152	9726	16
105	8214	45
421	3464	15
101	10477	6
184	1770	4
114	4354	3
306	9510	15
104	10667	3
269	3521	7
159	2011	6
320	3240	1
2626	404	2
212	6946	13
255	6821	26
16470	589	45
14	3493	11
129	4579	11
1022	3773	6
12460	7699	33
27412	1129	1
186	6000	18
104	2211	26
641	8755	0
14	9177	50
755	7824	16
116	2437	13
16	450	2
632	2220	3
443	7924	2
122	2012	10
105	10215	2
920	8543	18
1218	3907	23
909	6848	0
120	7880	32
497	5886	6
1332	6805	35
107	1019	3
102	7114	18
292	874	10
1356	8661	28
1274	4552	17
17487	839	17
721	10280	3
818	7299	13
200	651	8
3206	8253	8
108	8435	5
14	1842	37
1665	3345	10
621	4655	5
26621	1658	14
13888	54	26
223	5003	16
432	2790	15
14	6602	13
450	2816	11
115	4648	3
1508	1878	14
136	4593	2
108	2879	5
112	4795	36
441	6070	17
257	4383	19
605	10503	0
903	5600	24
104	4706	13
2181	4461	3
186	7229	13
3456	8941	9
5144	396	20
6311	316	26
466	2664	6
14	3042	15
14	4115	37
946	9507	7
102	2177	26
128	2311	12
101	7279	5
126	3542	4
140	3070	2
14	8973	7
1453	1290	35
293	5743	14
154	1684	11
223	7049	29
14	3888	40
104	9092	2
7607	6261	16
1785	7535	30
19509	9555	30
217	44	15
2299	10490	7
2	8972	12
102	1418	21
212	10146	3
494	5219	14
101	559	2
23014	9791	9
536	3698	16
1781	6187	41
14	4716	10
2696	6257	5
6415	9592	9
15376	9066	0
26830	10638	9
161	4372	1
9	8698	14
14	1647	22
26863	8266	15
2566	10396	6
268	1224	7
358	6646	13
106	3698	7
949	5263	15
105	8805	3
697	210	4
332	4874	43
104	5737	10
281	1403	7
717	5850	0
771	7888	7
258	3987	5
212	386	21
158	8215	4
5880	6129	2
12	2600	6
954	9493	31
196	10336	2
120	4729	5
120	3866	10
9	10364	16
279	5840	12
280	3646	4
501	6921	38
1580	10681	6
111	10224	2
101	4933	7
269	1196	1
1838	7373	5
101	5708	5
101	9806	2
271	7881	0
406	6035	8
312	4442	24
105	4868	14
14	2026	17
1119	4762	26
26581	8681	7
1853	2996	1
2979	6148	12
670	9747	19
153	9779	9
2539	7991	20
111	7253	22
421	7177	18
1481	1235	3
598	2179	1
379	960	15
14	2209	28
1759	1044	8
145	4096	5
1123	7319	18
134	3430	10
159	1716	13
9653	2912	0
123	3574	2
119	2689	12
3045	2613	22
156	8507	0
23394	8677	16
20636	9020	13
26191	7698	7
810	8212	3
112	1347	4
127	542	22
14748	7223	17
14096	722	5
109	4055	6
14	9194	30
126	6044	16
119	516	3
17377	4100	31
4312	6199	15
479	10680	33
2226	4534	7
14	1672	15
551	3059	10
9	10038	9
133	293	7
111	10591	7
1530	1954	9
242	2640	7
148	8615	3
14102	5635	0
20129	8136	23
129	8777	7
156	9212	0
466	5418	4
14	4974	15
14	10664	17
13735	5378	0
102	7431	1
157	2707	6
1399	5575	3
597	6728	7
288	9354	15
140	6991	34
207	5916	1
114	1583	2
123	990	5
137	1526	3
10297	7483	4
1614	6089	13
1024	4080	13
270	7872	8
247	7642	2
103	6627	3
143	7453	23
283	10431	13
12777	3286	0
114	4450	24
125	5695	10
139	7259	18
5922	4876	18
108	8894	18
268	3815	6
58	6907	45
259	7377	5
136	3673	12
26266	1540	9
135	9600	10
375	3667	20
101	6084	23
3498	8282	8
10215	6354	5
101	6862	12
9825	2504	43
107	10299	2
107	2485	13
112	615	10
14	6179	16
858	2053	11
397	8141	22
122	3229	20
15279	1423	12
14	6598	12
205	4336	3
849	2470	12
128	5224	2
14	8221	35
2123	4607	0
2148	3103	35
101	4236	3
401	1944	1
12	6253	10
6282	5081	1
6078	7281	15
140	4858	16
1414	4392	6
450	9673	8
7030	4458	0
12650	10229	5
102	1991	2
114	1959	16
6727	6073	4
10043	442	16
151	8012	7
122	5321	32
1062	5819	4
1481	2711	30
276	4860	2
118	2127	4
143	9014	3
101	228	3
3929	627	0
8293	7870	26
185	6405	24
22056	703	4
743	362	10
1123	8913	8
103	8675	9
3238	4841	8
12	6	19
106	6811	23
8228	5470	26
23396	72	11
21355	8713	25
108	7187	16
118	4473	46
1460	200	8
153	2001	28
104	4841	14
181	4495	4
111	5912	9
141	5591	22
14	3239	14
1192	7644	20
14	5642	3
138	5882	25
12	930	25
14	429	21
14	2700	16
315	3199	17
6905	8413	1
3207	4531	0
173	6106	9
7155	2641	32
1658	10016	5
27963	4575	2
24904	3476	4
117	9088	30
12	2383	6
2554	2749	12
120	4382	5
4488	9049	15
3672	1464	11
137	2970	12
1008	2586	9
4605	9091	3
12	8260	6
9013	3172	19
23920	1646	25
17462	384	22
128	3535	1
1676	10369	5
112	9353	3
153	10131	9
5396	8136	21
102	6441	1
303	3994	16
141	8437	21
567	5437	5
16325	1047	2
938	1171	14
151	6927	9
119	6698	6
14	8332	10
990	9599	10
105	5129	6
298	6843	15
102	8267	21
134	6567	8
7114	7493	9
2145	1896	16
121	7414	14
16476	1439	30
1104	6115	2
117	7247	2
7187	5497	0
1978	6700	44
131	10188	1
161	9274	3
12	2952	6
106	1879	8
5554	1878	32
13	2679	16
116	2957	6
101	7242	2
1654	2636	16
9116	10067	15
679	10032	5
1398	2400	10
105	7884	11
200	9769	2
14	7086	28
1616	1857	19
202	1053	6
195	8242	34
108	10544	7
145	6562	8
105	5128	18
126	8914	9
157	2774	26
4119	7521	7
12	9809	33
212	5152	29
102	7017	3
315	5107	12
1521	10066	20
2720	2965	8
102	452	14
14891	10522	8
3136	9626	11
14	2438	30
103	2341	7
110	2615	18
151	5762	16
109	5666	38
3841	3756	13
103	4431	10
167	2119	6
204	1905	0
14	4588	19
597	5099	30
101	2923	2
192	5815	6
199	197	5
807	4552	32
58	6763	16
102	1229	12
682	8274	13
102	4751	6
558	7675	15
654	8429	6
113	264	22
2417	7560	20
26692	214	5
383	4779	22
197	7129	44
566	6539	18
5340	7139	11
16490	6493	4
113	7566	5
2670	1856	10
11562	2851	7
27947	1848	11
821	8289	22
554	927	19
497	1714	21
128	6761	3
713	7742	8
807	5140	3
149	8682	3
372	3358	8
241	4060	9
14	7757	18
105	6080	2
11307	291	0
123	8136	43
883	6362	1
208	10264	11
6282	7383	16
22712	10038	32
8753	522	19
23971	3033	6
10134	5185	9
107	8890	7
297	1502	4
278	6194	9
604	2319	18
4239	1292	12
12	8942	8
9	7641	17
26204	1044	14
330	2687	6
14	1860	21
